architecture,condition,seed,proxy_state,proxy_content,proxy_self_model,proxy_agency,proxy_temporal_continuity,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,pass_boundary_perturbation,pass_computational_mirror,pass_ownership_attribution,pass_intentional_binding,pass_error_attribution,pass_controllability_preference,pass_forced_action_probe,pass_architecture_self_probe
thalamus,W-A-,20260521,0.6737857359679206,0.26855538193781314,0.30098109350007385,0.0,0.0,0.47125677920931053,0.14719978588336846,0.47795690407128455,0.9361702127659575,0.3125,0.000209745018093911,0.044510249252991366,0.3440791492623885,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260522,0.7839670146249347,0.3306690619561653,0.30425002102133386,0.0,0.0,0.49339096177441033,0.11398856380945761,0.4836035634096979,0.9148936170212766,0.4166666666666667,0.0001097534412926778,0.055070718903182464,0.2007737828933553,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260523,0.7420896978109948,0.2839715016062544,0.3032418822511199,0.0,0.0,0.4373364999286934,0.16251524766982034,0.46904883659420643,0.851063829787234,0.2708333333333333,0.001902902192592161,0.08556583040086926,0.36259225808581996,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W-A-,20260524,0.6687319078633495,0.28468215019190235,0.2996340832821114,0.0,0.0,0.48142352902284025,0.1278807219830289,0.4769572366587368,0.9361702127659575,0.3541666666666667,0.00022726096031711052,0.06102224642576276,0.25027338054603576,0.2,0.15839999999999999,False,True,False,False,False,False,False,False
thalamus,W+A-,20261521,0.7499805859819147,0.46853760468009387,0.6949215655569054,0.0,0.6871827459348165,0.7981429696713298,0.3049840799029031,0.22669687868531918,1.0,1.0,0.17654993100329228,0.033702305037028965,0.8096840835712912,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W+A-,20261522,0.7824959617402129,0.5016228144768673,0.7335481364424123,0.0,0.789565780388888,0.7961175035548655,0.35376817090888824,0.25272001421946216,1.0,1.0,0.34020938745010654,0.06070924713409744,0.814154049051349,0.2,0.93175,False,True,True,True,False,True,False,True
thalamus,W+A-,20261523,0.7640817966407734,0.4848439699121644,0.7077826871962634,0.0,0.7868595171068407,0.7831952744475358,0.27555662780307344,0.1669060977901432,1.0,1.0,0.12435577919049862,0.05430769865999038,0.7235630333618047,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W+A-,20261524,0.766175468735468,0.4869183923302075,0.6496031170753644,0.0,0.6350755034488937,0.8647573286973743,0.351661687905514,0.49315431478949734,1.0,1.0,0.3106500839131351,0.09188880518051455,0.8041078625284064,0.2,0.9658749999999999,False,True,True,False,False,True,False,True
thalamus,W-A+,20262521,0.6829643447058424,0.28159462785294764,0.29822339098544387,0.7073767087548055,0.0,0.5850213672537149,0.4534135311903443,0.47335213568152623,1.0,0.7083333333333334,0.09682679107800851,0.09129867087914481,0.6577269113378278,0.967801751466396,0.15839999999999999,False,True,True,False,False,True,True,False
thalamus,W-A+,20262522,0.7702947884921962,0.31851527865468104,0.3020044763756513,0.7082092096369401,0.0,0.6344571056530662,0.4354974361520427,0.504428422612265,1.0,0.875,0.1292473399979387,0.08899969791810496,0.5554942557721738,0.9682484509199535,0.15839999999999999,False,True,True,False,False,False,True,False
