condition,seed,num_agents,world_size,sensor_range,enable_coordination,enable_action_feedback,proxy_self_model,proxy_boundary_self,proxy_temporal_self,proxy_ownership_self,proxy_legacy_self_model,independent_self_model,independent_core_boundary_self,independent_identity_ownership_self,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_architecture_self_probe,proxy_agency,independent_agency,boundary_discrepancy,temporal_discrepancy,ownership_discrepancy
agents_8_feedback_on,20260521,8,52,6,True,True,0.9235912245131728,0.9235912245131728,0.975667926828806,0.3380575753890654,0.8350222329381537,0.7509000244435404,0.7309667155537477,0.7708333333333333,0.47286770981459286,1.0,0.5416666666666666,0.9890657212929025,0.3380575753890654,0.3020858653542435,0.19262450895942507,-0.024332073171194013,-0.20360909127760124
agents_8_feedback_on,20260522,8,52,6,True,True,0.9480543367887467,0.9480543367887467,0.9883829743588317,0.3976091328953334,0.8341549689183656,0.7284430686912304,0.7589694707157943,0.6979166666666666,0.5267856779593303,1.0,0.3958333333333333,0.9911532634722584,0.3976091328953334,0.32724227761679614,0.18908486607295238,-0.011617025641168288,0.00177579956200008
agents_8_feedback_on,20260523,8,52,6,True,True,0.955547452648317,0.955547452648317,0.9854852080215593,0.3347168539723142,0.9852384938457444,0.7276559781150354,0.7469786228967374,0.7083333333333334,0.5007018905533431,1.0,0.4166666666666667,0.9932553552401318,0.3347168539723142,0.34318953734249236,0.20856882975157953,-0.014514791978440744,-0.08194981269435248
agents_8_feedback_off,20261521,8,52,6,True,False,0.9490630798368895,0.9490630798368895,0.9953973608612681,0.0,0.8842818955181169,0.710827649372777,0.7445719654122206,0.6770833333333334,0.4964287472732719,1.0,0.3541666666666667,0.9927151835511693,0.0,0.22121523297682083,0.20449111442466894,-0.004602639138731934,-0.3541666666666667
agents_8_feedback_off,20261522,8,52,6,True,False,0.962096563143813,0.962096563143813,0.9888352252130006,0.0,0.9859417577752964,0.7261497634668213,0.7335495269336426,0.71875,0.47220664242117977,1.0,0.4375,0.9948924114461055,0.0,0.1960942318737141,0.22854703621017036,-0.011164774786999399,-0.4375
agents_8_feedback_off,20261523,8,52,6,True,False,0.9674708789451754,0.9674708789451754,0.9939483812224423,0.0,0.9459056476718668,0.6841115267307858,0.7223897201282383,0.6458333333333334,0.45454911111799323,1.0,0.2916666666666667,0.9902303291384835,0.0,0.21853613793837418,0.24508115881693704,-0.006051618777557666,-0.2916666666666667
agents_4,20262521,4,52,6,True,True,0.9732242622443757,0.9732242622443757,0.992140284179577,0.5807043819382793,0.8904636373961182,0.6764722025362829,0.7383610717392325,0.6145833333333334,0.49510558697660817,1.0,0.22916666666666666,0.9816165565018568,0.5807043819382793,0.35203654077756863,0.23486319050514326,-0.007859715820422997,0.3515377152716127
agents_4,20262522,4,52,6,True,True,0.9749436406190789,0.9749436406190789,0.9914697933784775,0.6971345722395694,0.8918033523894094,0.7097454290783516,0.7430724184403911,0.6764184397163121,0.4977229154595037,0.9361702127659575,0.4166666666666667,0.9884219214212785,0.6971345722395694,0.3161964221127683,0.23187122217868783,0.05529958061252005,0.28046790557290274
agents_4,20262523,4,52,6,True,True,0.9739702628458131,0.9739702628458131,0.9906106491536373,0.5477612487870479,0.8909493222886954,0.6701632412975731,0.7361598159284796,0.6041666666666666,0.4844505888712714,1.0,0.20833333333333334,0.9878690429856878,0.5477612487870479,0.31581634305921286,0.23781044691733355,-0.00938935084636272,0.33942791545371453
agents_16,20263521,16,52,6,True,True,0.9392819313013194,0.9392819313013194,0.9931958788310795,0.2916936260803178,0.8838959562680451,0.7196180904522095,0.751736180904419,0.6875,0.5072056258115651,1.0,0.375,0.9962667359972729,0.2916936260803178,0.3467938839931172,0.18754575039690047,-0.006804121168920485,-0.08330637391968221
agents_16,20263522,16,52,6,True,True,0.9450606368684362,0.9450606368684362,0.992260526558574,0.34640900021175514,0.8579858163242301,0.6972203174737466,0.7069406349474932,0.6875,0.4195939533998874,1.0,0.375,0.9942873164950989,0.34640900021175514,0.2895296156572317,0.23812000192094307,-0.007739473441426004,-0.028590999788244864
