number_key,expected,computed,abs_diff,ok
action_agency_r,0.873878,0.8738780225858995,2.258589948400669e-08,True
boundary_self_r,0.93976,0.9397604357376332,4.3573763319759706e-07,True
identity_temporal_self_r,0.850324,0.8503237425121626,2.574878373851064e-07,True
action_ownership_r,0.995879,0.9958788997305439,1.0026945607144455e-07,True
distributed_body_schema_self_r,0.923722,0.9237221509081296,1.5090812954809962e-07,True
workspace_effect_boundary_self,0.467892,0.467891812235273,1.8776472698878166e-07,True
workspace_effect_identity_temporal_self,0.253548,0.2535483487273029,3.487273029234572e-07,True
workspace_effect_action_agency,-0.001056,-0.001056455761908881,4.5576190888093823e-07,True
workspace_effect_action_ownership,7e-05,7.036811874816529e-05,3.6811874816529313e-07,True
action_effect_boundary_self,-0.045256,-0.04525551947244588,4.805275541155951e-07,True
action_effect_identity_temporal_self,0.013087,0.013086799442008525,2.005579914747535e-07,True
action_effect_action_agency,0.711341,0.7113407858345744,2.141654256160308e-07,True
action_effect_action_ownership,0.968047,0.9680468932304742,1.067695257761514e-07,True
meta_monitor_strength_r,0.88676,0.8867600694172955,6.941729546738884e-08,True
meta_monitor_noise_r,-0.973999,-0.9739988788071975,1.211928024602571e-07,True
