architecture,condition,seed,proxy_self_model,proxy_agency,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,proxy_boundary_self,independent_self_core_boundary,proxy_identity_marker_persistence,test_delayed_identity_recognition,proxy_action_attribution,test_forced_choice_ownership,proxy_distributed_body_schema_self,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,enable_workspace,enable_action_loop,condition_set,run_index,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay
thalamus,W-A-,20260521,0.17478360867470155,0.0,0.49080188612601383,0.1502117581616389,0.5037585934551043,0.951048951048951,0.35,0.00011232827238546092,0.03607217850805302,0.3646625258661171,0.2,0.15839999999999999,0.17478360867470155,0.33156010667359587,0.009041968233061751,0.17500000269845864,0.0,0.0,0.17478360867470155,,,,,False,False,thalamus,0,,,
thalamus,W-A-,20260522,0.17602584489805279,0.0,0.4729724900088772,0.12339163856987308,0.47573937728492627,0.916083916083916,0.3416666666666667,0.003138943473036177,0.05438870024707672,0.23603891055937942,0.2,0.15839999999999999,0.17602584489805279,0.33148125233208253,0.012328143318917168,0.18998370843161674,0.0,0.0,0.17602584489805279,,,,,False,False,thalamus,1,,,
thalamus,W-A-,20260523,0.17685978467696117,0.0,0.49575221444750805,0.14752067603875557,0.5278722610534354,0.9300699300699301,0.36666666666666664,0.000856796063355055,0.05352300367149452,0.33570290442017275,0.2,0.15839999999999999,0.17685978467696117,0.3202615828115684,0.017462345639302847,0.17500000350799624,0.0,0.0,0.17685978467696117,,,,,False,False,thalamus,2,,,
thalamus,W-A-,20260524,0.1745114394353064,0.0,0.4774517580894819,0.1363335355268196,0.490684421635317,0.9440559440559441,0.31666666666666665,0.00023709630426317475,0.05101916897591176,0.2940778768271034,0.2,0.15839999999999999,0.1745114394353064,0.32601885344065845,0.007847878631332203,0.17499999730154125,0.0,0.0,0.1745114394353064,,,,,False,False,thalamus,3,,,
thalamus,W-A-,20260525,0.17670657049612803,0.0,0.48461685217067674,0.11015248022743046,0.49568512430042244,0.951048951048951,0.3333333333333333,0.00019627602068762585,0.039188543900421396,0.2012251009886128,0.2,0.15839999999999999,0.17670657049612803,0.32704494515778837,0.0037820738824228184,0.17500000296830448,0.0,0.0,0.17670657049612803,,,,,False,False,thalamus,4,,,
thalamus,W-A-,20260526,0.1727090008347846,0.0,0.5034859896956305,0.12629511331987142,0.48811971635827955,0.9090909090909091,0.4583333333333333,0.006570989380274192,0.03023946771964705,0.2683699961795645,0.2,0.15839999999999999,0.1727090008347846,0.33175438233148635,0.008634581158316898,0.17499999703169536,0.0,0.0,0.1727090008347846,,,,,False,False,thalamus,5,,,
thalamus,W-A-,20260527,0.1749639827339672,0.0,0.46343145497020954,0.12886525097698887,0.49724889680391504,0.9230769230769231,0.275,0.00028084342674576196,0.05656294796904241,0.2586172125121673,0.2,0.15839999999999999,0.1749639827339672,0.32151302360897527,0.005069611278679818,0.17499999703169536,0.0,0.0,0.1749639827339672,,,,,False,False,thalamus,6,,,
thalamus,W-A-,20260528,0.1777139074579566,0.0,0.4893690681709029,0.1591985445420404,0.5090029815996957,0.916083916083916,0.375,0.0036253878109231913,0.06271988349676086,0.3704489068604776,0.2,0.15738937499999997,0.1777139074579566,0.3300918083064865,0.0036924860720486366,0.17499999703169536,0.0,0.0,0.1777139074579566,,,,,False,False,thalamus,7,,,
thalamus,W-A-,20260529,0.17784845532631602,0.0,0.47991372991034575,0.13522918288875524,0.5045532879397514,0.965034965034965,0.2916666666666667,0.0006209195744702159,0.02774180758089361,0.3125540043996571,0.2,0.15839999999999999,0.17784845532631602,0.32739352232569197,2.625000217193474e-10,0.17500000350799624,0.0,0.0,0.17784845532631602,,,,,False,False,thalamus,8,,,
thalamus,W-A-,20260530,0.17461295901111,0.0,0.49022592477579474,0.1852863432672368,0.5084477550472348,0.9440559440559441,0.35,0.001372289074806786,0.04532544283853223,0.4944476411556082,0.2,0.15839999999999999,0.17461295901111,0.32506042577512406,0.011435812915389056,0.19070599834030455,0.0,0.0,0.17461295901111,,,,,False,False,thalamus,9,,,
