capacity,workspace,action_loop,seed,proxy_boundary_self,generic_boundary_probe,hard_attention_boundary,workspace_occupancy,workspace_coherence,marker_alignment,attention_self_other_score,attention_self_mass,attention_external_mass,attention_external_rejection,attention_boundary_perturbation_score,attention_pattern_recovery,attention_protected_self_mass,workspace_lesion_score,workspace_lesion_drop,workspace_baseline_boundary_proxy,workspace_lesioned_boundary_proxy
0,0.0,0.0,20260529.5,0.08177433700144142,0.42793277240419897,0.3750956704024981,0.0,0.0,0.5110896062590089,0.5082253643762457,0.10324296578539556,0.10001109737860657,0.2693424182198604,0.6142101398964765,0.9639595237193266,0.6763493572270726,0.0028515069347720724,0.0018534795076018472,0.08177433700144142,0.07999045215731726
1,1.0,0.0,20261529.5,0.9304947940264231,0.5244499648874438,0.3823858468305856,1.0,0.9994813953076576,0.5668241488094576,0.45479262159224076,0.07856065252996731,0.09954090763976826,0.4621331864120767,0.6770387335895025,0.9619030347470802,0.6220775874527752,0.015326185310013524,0.00996202045150879,0.9304947940264231,0.9212731003177649
2,1.0,0.0,20262529.5,0.9221721705937352,0.5641045593532593,0.416748301187484,1.0,0.9867629696798013,0.5450140132213172,0.513951722806431,0.08747806479120895,0.08725193063549352,0.5212939339269319,0.7066560234111376,0.9555340753371847,0.654806093889401,0.029637157344883456,0.019264152274174245,0.9221721705937352,0.902908018319561
4,1.0,0.0,20263529.5,0.9185177759959414,0.5052466522274286,0.39096689223605063,1.0,0.9722768992543789,0.5565784642454837,0.46108391680543376,0.08902035296395357,0.11274368984919264,0.4471942169439802,0.6804504214330459,0.9589144374779043,0.6638107261527495,0.03136633846967226,0.020388120005286968,0.9185177759959414,0.8984341618478263
8,1.0,0.0,20264529.5,0.8887872819687997,0.42086911780625924,0.40347852247237836,1.0,0.901614171502886,0.5385868549856441,0.5045701198410801,0.09342782712481418,0.0883862750636894,0.30938892721167693,0.6295536269245358,0.957713992895894,0.6823926341052082,0.07631182065151929,0.04960268342348754,0.8887872819687997,0.8391845985453122
