diagnostic,x,y,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,pearson_p_formatted,spearman_rho,spearman_p,spearman_p_formatted
capacity_vs_boundary_proxy,capacity,proxy_boundary_self,80,0.6681555355027116,0.5884029495467521,0.7365810675696671,1.2787979697941631e-11,<1e-9,0.8260018565607012,4.119209797314736e-21,<1e-9
capacity_vs_boundary_independent,capacity,independent_self_core_boundary,80,0.39071222829154306,0.22226498303336648,0.5345679513571227,0.00033943723981780255,0.0003,0.3433381211005324,0.0018211911824276067,0.0018
capacity_vs_identity_proxy,capacity,proxy_identity_marker_persistence,80,0.4166686419822021,0.2619130871992834,0.5426281918980878,0.0001207820854507024,0.0001,0.27145352314449317,0.014864492871813528,0.0149
capacity_vs_identity_independent,capacity,test_delayed_identity_recognition,80,0.5083899653180746,0.3945911437793441,0.6079494001670689,1.4761805363462326e-06,1.5e-06,0.4421064372247616,4.030029580710376e-05,4.0e-05
boundary_proxy_vs_independent,proxy_boundary_self,independent_self_core_boundary,80,0.8376930341020299,0.7223905526507393,0.910283359284709,3.4588562156125096e-22,<1e-9,0.32473042662916085,0.0032942941191243737,0.0033
identity_proxy_vs_independent,proxy_identity_marker_persistence,test_delayed_identity_recognition,80,0.9819884863518995,0.965203128944206,0.9916171840131313,3.2779015087756064e-58,<1e-9,0.6285161480657411,4.3228934673954267e-10,<1e-9
