capacity,seed,proxy_self_model,proxy_agency,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,proxy_boundary_self,independent_self_core_boundary,proxy_identity_marker_persistence,test_delayed_identity_recognition,proxy_action_attribution,test_forced_choice_ownership,proxy_distributed_body_schema_self,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,enable_workspace,enable_action_loop,workspace,action_loop,warmup
0,20260529.5,0.1757741526013652,0.6966677055753144,0.607761260398006,0.4438364723719952,0.4874887915920241,1.0,0.78515625,0.09745116581119596,0.08417662514213639,0.6256257475342077,0.9680923510004408,0.15839999999999999,0.1757741526013652,0.32074877104816574,0.005947341395335797,0.17499999944344283,0.9681342775649331,0.9980665959709367,0.1757741526013652,,,,,0.0,1.0,0.0,1.0,128.0
1,20261529.5,0.5724022935683095,0.7017819966763518,0.7690447083066081,0.5222136263540964,0.44659419780976545,1.0,0.7799479166666666,0.4292130857366121,0.08366098166218965,0.608084708364186,0.9678957296533979,0.84963671875,0.5724022935683095,0.6803112325460794,1.0,0.772883546386341,0.9678667565696167,0.9980734858728869,0.5724022935683095,,,,,1.0,1.0,1.0,1.0,128.0
2,20262529.5,0.6232315621315958,0.698497284705915,0.7696241997981305,0.521885870084708,0.45398508044252184,1.0,0.7578125,0.3954679924046939,0.07846760739535066,0.6456821800533962,0.9679257004853912,0.86669921875,0.6232315621315958,0.6934116372925301,0.9853077111906787,0.7736472731044453,0.9679704857816662,0.9980991897804015,0.6232315621315958,,,,,1.0,1.0,1.0,1.0,128.0
4,20263529.5,0.6358646830162912,0.6965940418459625,0.7653813822628817,0.5278035848253936,0.4092989665515266,1.0,0.76953125,0.42432522998265054,0.059861629504831565,0.6590322677002676,0.9679952121138247,0.8826953125,0.6358646830162912,0.6705129606420224,0.955158564093678,0.7712996591252476,0.9680489085517445,0.9980910554534426,0.6358646830162912,,,,,1.0,1.0,1.0,1.0,128.0
8,20264529.5,0.6965365458331698,0.6988710596826267,0.7560383955564242,0.5268465983335144,0.36834759264236333,1.0,0.7630208333333334,0.4062538759638553,0.04538815867256396,0.6880371482433262,0.9677072104543121,0.89278515625,0.6965365458331698,0.6366100433267039,0.8669387806451629,0.7573391694281695,0.9677459141081303,0.9980984667925568,0.6965365458331698,,,,,1.0,1.0,1.0,1.0,128.0
