diagnostic,x,y,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,pearson_p_formatted,spearman_rho,spearman_p,spearman_p_formatted
capacity_vs_boundary_proxy,capacity,proxy_boundary_self,80,0.49402633557176945,0.3705420931019135,0.5958870747392762,3.208091806874193e-06,3.2e-06,0.2032469813872717,0.07057394922338651,0.0706
capacity_vs_generic_boundary,capacity,generic_boundary_probe,80,-0.25740959104981975,-0.46329835864398566,-0.03367231855483891,0.021161188544991896,0.0212,-0.07808358606968631,0.4911623645913761,0.4912
capacity_vs_hard_attention_boundary,capacity,hard_attention_boundary,80,0.18376530487718712,-0.03872053547743129,0.3856645383455945,0.10274131915490531,0.1027,0.25147507866560737,0.024439179053629134,0.0244
proxy_vs_generic_boundary,proxy_boundary_self,generic_boundary_probe,80,0.40429451959595797,0.20816763503723293,0.5781082499540217,0.0001997603039949999,0.0002,0.48316924519456167,5.637731183505513e-06,5.6e-06
proxy_vs_hard_attention_boundary,proxy_boundary_self,hard_attention_boundary,80,0.2524283153847682,0.07653234890938664,0.43527716117317283,0.023885247975637604,0.0239,0.3604313173933427,0.001022767246010655,0.0010
