architecture,condition,workspace_mean,workspace_std,action_loop_mean,action_loop_std,seed_mean,seed_std,proxy_boundary_self_mean,proxy_boundary_self_std,independent_boundary_self_mean,independent_boundary_self_std,boundary_recovery_similarity_mean,boundary_recovery_similarity_std,boundary_marker_recovery_mean,boundary_marker_recovery_std,proxy_identity_marker_persistence_mean,proxy_identity_marker_persistence_std,independent_identity_temporal_self_mean,independent_identity_temporal_self_std,identity_own_marker_mean,identity_own_marker_std,identity_decoy_marker_mean,identity_decoy_marker_std,identity_stability_mean,identity_stability_std,proxy_agency_mean,proxy_agency_std,independent_agency_mean,independent_agency_std,agency_true_causality_mean,agency_true_causality_std,agency_decoy_causality_mean,agency_decoy_causality_std,proxy_action_attribution_mean,proxy_action_attribution_std,independent_action_ownership_mean,independent_action_ownership_std,ownership_accuracy_mean,ownership_accuracy_std,ownership_margin_mean,ownership_margin_std,workspace_occupancy_mean,workspace_occupancy_std,workspace_coherence_mean,workspace_coherence_std,prediction_error_mean,prediction_error_std,action_presence_mean,action_presence_std
transformer,W+A+,1.0,0.0,1.0,0.0,20263529.5,4.760952285695233,0.9184337040815356,0.01785288127178878,0.5105318058493511,0.06820099899593139,0.9333569156751367,0.044000802903701654,0.5291063984895038,0.09170332965522496,0.7178566567119607,0.11823882484398995,0.7551479820342079,0.10447913652968308,0.5512581600411064,0.0983488541600457,0.50781357128423,0.08610785564247476,0.8989470796175775,0.20675078341271522,0.8186567250458099,0.0018585267304592373,0.9363279507088219,0.012004583990956132,0.9672676421961169,0.001825508355801745,0.5079750625026201,0.012817787382641277,0.8186567250458099,0.0018585267304592446,1.0,0.0,1.0,0.0,0.4696056392665201,0.004057671043545606,1.0,0.0,0.9722326741217446,0.01901045121536918,0.181343274953323,0.0018585267304255574,0.9999999999989407,1.3074309583367983e-13
transformer,W+A-,1.0,0.0,0.0,0.0,20261529.5,4.760952285695233,0.9125167384690318,0.0154262329070412,0.4846807418590414,0.04519990437629362,0.9244841552813379,0.0523458905584555,0.5364190965076603,0.073431963217619,0.6904882673058244,0.08462194965614836,0.7549810755700085,0.1025370277044796,0.5394990594939036,0.08252357970216817,0.4900501221993057,0.08345434438757043,0.8814672778551595,0.12460314103450082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9661490421839258,0.028157179199282015,1.0,0.0,0.0,0.0
transformer,W-A+,0.0,0.0,1.0,0.0,20262529.5,4.760952285695233,0.07783820117684746,0.00803064005595671,0.4447961052475368,0.06524623549801432,0.8446182680948124,0.06315939502153335,0.5156503789701407,0.08804937931606324,0.632167356642151,0.08414272978317935,0.6907472512659721,0.06795647617605627,0.4928282413342821,0.0616676500883694,0.5031273993731014,0.06903899987909783,0.7918266475725825,0.17515947379935223,0.8192883781708513,0.002665561690706345,0.9303466060259935,0.010315309079578106,0.9593924082124605,0.003106728331270646,0.5063959808166779,0.010489698775747935,0.8192883781708513,0.0026655616907064685,1.0,0.0,1.0,0.0,0.46180853310893544,0.009325309785337299,0.0,0.0,0.0,0.0,0.18071162182834638,0.0026655616907309415,0.9999999999990208,9.359891245463361e-14
transformer,W-A-,0.0,0.0,0.0,0.0,20260529.5,4.760952285695233,0.08172852215086301,0.014339898457368213,0.4055360104869394,0.07267982028680203,0.7994953224366876,0.11103596631637759,0.5116815635469709,0.09883439907888149,0.6795103926563576,0.09709257151727863,0.7320940700128835,0.08795640627748137,0.5147696046674977,0.09721959465538987,0.48949420686210515,0.04732866185364255,0.8576051661964351,0.1580910694184343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
